Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Kiribati,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.11,0.1,0.1,0.09,0.09,0.09,0.08,0.08,0.08,0.08,0.09,0.08,0.1,0.09,0.08,0.07,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.05,0.04,0.04,0.04
Kuwait,CAIT,Total excluding LUCF,All GHG,MtCO₂e,112.97,111.46,109.84,106.22,100.32,100.56,97.46,93.59,89.24,85.48,82.73,77.93,78.27,75.26,67.17,63.03,60.45,57.5,53.6,49.78,45.53,39.3,37.81,38.24,37.83,32.99,26.35,38.76,32.07
Kyrgyzstan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,18.12,16.24,16.51,16.96,16.41,15.87,16.34,13.75,12.33,12.66,13.03,11.86,10.61,10.5,10.82,10.67,10.03,9.07,9.66,9.7,11.04,10.83,10.95,10.01,12.7,17.88,22.73,30.39,32.65
Laos,CAIT,Total excluding LUCF,All GHG,MtCO₂e,29.27,29.2,26.15,19.02,14.48,13.81,13.11,12.12,12.36,11.41,10.57,10.18,9.66,9.29,9.35,8.91,8.69,8.4,8.07,7.74,7.92,8.4,8.21,8.24,8.24,7.94,7.97,7.72,7.86
Latvia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,11.66,11.26,11.34,11.5,11.44,11.49,11.54,11.75,12.39,11.22,12.01,12.36,11.94,11.41,11.25,11.17,11.06,11.02,10.49,11.27,11.98,12.43,13.01,13.02,14.76,17.74,20.93,23.66,25.38
Lebanon,CAIT,Total excluding LUCF,All GHG,MtCO₂e,34.35,35.6,33.79,32.66,30.31,28.35,28.36,25.76,25.06,25.97,22.53,18.78,19.8,20.73,21.3,20.75,20.07,20.09,18.77,19.93,18.95,18.61,16.4,15.37,13.11,12.15,8.77,8.71,7.22
Lesotho,CAIT,Total excluding LUCF,All GHG,MtCO₂e,5.85,5.78,5.42,5.39,5.39,5.28,5.28,5.1,4.9,4.75,4.53,4.46,4.26,4.19,3.99,4.01,3.93,4.08,4.08,4.12,3.56,3.59,3.58,3.57,3.61,3.6,3.58,3.37,3.31
Liberia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,9.2,9.02,9.08,8.91,8.11,7.13,6.56,5.82,5.06,4.9,4.5,4.42,4.28,4.07,3.88,3.71,3.57,3.49,3.38,3.22,3.19,3.02,2.84,2.72,2.87,3.04,3.2,3.33,3.6
Libya,CAIT,Total excluding LUCF,All GHG,MtCO₂e,103.04,96.58,86.62,84.88,102.27,109.15,117.93,115.16,145.81,141.57,138.42,132.52,134.75,133.59,127.32,123.42,120.15,115.37,111.3,109.46,111.01,109.57,109.81,107.57,105.69,100.49,99.77,102.72,105.32
Liechtenstein,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.18,0.19,0.19,0.19,0.2,0.23,0.22,0.21,0.23,0.24,0.26,0.24,0.26,0.26,0.26,0.26,0.25,0.24,0.24,0.25,0.26,0.25,0.23,0.23,0.23,0.24,0.23,0.23,0.23
Lithuania,CAIT,Total excluding LUCF,All GHG,MtCO₂e,18.84,18.73,18.82,18.8,18.55,19.0,19.9,19.98,20.52,19.71,23.28,23.85,22.85,22.72,21.58,20.6,20.42,20.06,19.62,21.32,24.05,23.17,23.38,22.62,24.22,26.24,32.15,46.93,45.2
Luxembourg,CAIT,Total excluding LUCF,All GHG,MtCO₂e,10.22,9.92,9.77,10.05,10.56,11.05,11.58,11.83,11.98,11.38,11.96,12.03,12.62,12.82,12.59,11.15,10.74,9.96,9.4,8.87,8.48,9.16,9.66,9.58,11.73,12.57,12.36,12.68,12.2
Macedonia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,10.51,11.01,10.53,10.56,10.82,11.24,12.12,12.69,11.75,11.91,12.6,12.81,12.37,12.33,11.95,12.17,11.26,11.88,11.82,12.13,13.03,12.26,13.43,11.9,12.26,12.72,12.72,13.31,13.98
Madagascar,CAIT,Total excluding LUCF,All GHG,MtCO₂e,30.57,29.62,31.0,30.0,29.68,29.2,30.48,29.12,29.19,29.12,28.53,29.72,28.27,29.51,25.76,26.89,24.37,26.49,27.55,28.1,28.43,27.46,27.55,27.5,27.11,27.15,26.69,26.36,26.26
Malawi,CAIT,Total excluding LUCF,All GHG,MtCO₂e,18.32,16.95,16.19,15.82,14.9,13.96,13.12,12.44,11.67,11.29,11.41,11.05,10.83,10.74,10.33,10.01,9.51,8.89,8.76,8.56,8.44,8.17,8.02,7.77,7.33,8.6,9.34,10.22,10.92
Malaysia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,306.67,289.73,294.86,297.97,296.24,282.94,265.9,263.03,259.16,238.64,258.71,244.16,226.63,219.1,208.59,193.01,183.54,172.15,166.03,155.09,145.71,143.8,135.22,122.59,114.97,108.05,104.66,97.93,90.37
Maldives,CAIT,Total excluding LUCF,All GHG,MtCO₂e,2.38,2.23,2.12,1.66,1.65,1.39,1.38,1.22,1.14,1.08,1.02,1.01,1.0,0.84,0.86,0.64,0.72,0.59,0.56,0.52,0.4,0.42,0.35,0.33,0.27,0.26,0.28,0.21,0.21
Mali,CAIT,Total excluding LUCF,All GHG,MtCO₂e,43.74,42.14,41.04,36.67,35.19,34.62,33.43,32.76,31.8,29.62,29.38,27.94,27.0,26.68,25.72,23.41,22.62,22.34,22.64,21.3,19.72,18.28,17.78,16.66,16.31,16.06,15.83,15.78,15.82
Malta,CAIT,Total excluding LUCF,All GHG,MtCO₂e,2.04,2.01,1.87,2.16,2.84,2.83,3.16,2.98,2.99,2.89,3.08,3.14,3.05,2.97,2.92,2.92,2.62,2.78,2.41,2.67,2.63,2.73,2.57,2.62,2.76,3.05,2.41,2.43,2.52
Marshall Islands,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.24,0.22,0.22,0.19,0.19,0.18,0.18,0.18,0.18,0.17,0.17,0.18,0.17,0.17,0.16,0.15,0.15,0.14,0.13,0.13,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.03,N/A
Mauritania,CAIT,Total excluding LUCF,All GHG,MtCO₂e,14.08,13.92,13.25,12.83,12.15,11.67,11.67,11.22,11.1,10.53,9.74,10.34,10.09,9.71,9.56,9.53,9.35,9.26,9.15,8.73,8.16,7.88,7.59,7.07,6.98,7.05,6.83,6.96,6.72
Mauritius,CAIT,Total excluding LUCF,All GHG,MtCO₂e,6.74,6.72,6.53,6.37,6.33,6.12,5.99,5.83,5.78,5.5,5.51,5.4,5.26,4.83,4.64,4.61,4.42,4.4,4.3,3.86,3.33,3.05,2.94,2.77,2.71,2.63,2.47,2.38,2.28
Mexico,CAIT,Total excluding LUCF,All GHG,MtCO₂e,679.88,678.12,682.91,670.1,645.94,652.69,659.24,664.66,650.16,645.32,660.92,630.89,609.01,586.27,563.27,556.09,534.2,529.01,531.67,505.25,521.77,494.35,466.56,440.06,459.06,433.46,413.78,410.91,392.91
Micronesia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.27,0.26,0.26,0.23,0.22,0.22,0.21,0.2,0.19,0.21,0.19,0.21,0.21,0.23,0.23,0.23,0.21,0.22,0.2,0.2,0.2,0.19,0.19,0.19,0.13,0.12,0.11,0.01,N/A
Moldova,CAIT,Total excluding LUCF,All GHG,MtCO₂e,13.18,12.7,12.67,12.47,12.22,11.59,12.45,12.69,12.53,11.77,12.45,12.58,12.36,12.7,12.41,12.43,11.82,11.68,11.46,12.3,13.67,15.13,16.83,18.59,20.66,23.72,27.11,32.33,38.42
Mongolia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,52.62,50.88,48.09,45.71,44.13,41.59,39.14,35.71,32.05,34.72,33.74,33.49,30.79,27.88,25.18,25.41,25.63,27.51,30.05,29.31,28.65,28.25,27.42,28.18,27.26,29.03,30.23,32.37,30.13
Montenegro,CAIT,Total excluding LUCF,All GHG,MtCO₂e,3.8,3.52,3.4,3.65,3.56,3.66,3.79,4.03,4.18,3.43,4.49,4.02,4.22,4.16,2.38,2.53,2.52,2.52,2.5,2.56,2.59,2.58,2.56,2.53,2.46,2.46,2.45,2.56,2.58
Morocco,CAIT,Total excluding LUCF,All GHG,MtCO₂e,94.29,93.09,88.66,89.79,87.05,85.26,84.44,82.17,77.02,73.21,72.63,69.66,68.42,65.87,62.98,58.43,58.16,56.36,52.47,51.36,49.18,48.26,46.3,45.62,45.0,41.89,42.2,41.08,39.68
Mozambique,CAIT,Total excluding LUCF,All GHG,MtCO₂e,35.04,32.41,31.91,32.91,32.47,30.63,29.19,27.96,28.23,25.96,27.98,26.74,25.09,26.04,24.26,24.63,23.92,21.97,19.65,20.61,21.41,19.33,20.62,20.85,20.6,20.63,20.23,19.89,19.91
Myanmar,CAIT,Total excluding LUCF,All GHG,MtCO₂e,119.65,119.66,109.43,104.97,101.6,96.11,92.79,88.99,90.15,88.09,87.06,88.7,86.32,83.32,80.12,77.68,73.33,72.87,73.31,71.44,66.35,64.71,65.88,65.71,62.63,60.11,57.43,54.9,55.4
Namibia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,11.93,12.89,12.84,12.1,11.97,12.7,19.49,17.9,12.92,13.51,10.6,12.05,12.67,11.32,10.72,10.22,9.55,10.92,10.81,10.02,10.01,9.33,9.47,9.58,9.46,9.27,9.31,9.36,N/A
Nauru,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.08,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.08,0.07,0.08,0.08,0.09,0.09,0.1,0.11,0.11,0.11,0.11,0.12,0.12,0.13,0.13,0.13
Nepal,CAIT,Total excluding LUCF,All GHG,MtCO₂e,51.24,49.58,47.07,43.67,43.86,41.84,40.94,39.02,37.22,35.88,34.02,32.72,32.27,32.22,31.42,31.09,30.44,30.84,30.33,29.53,28.02,27.05,26.03,25.08,23.84,22.96,22.01,22.15,21.76
Netherlands,CAIT,Total excluding LUCF,All GHG,MtCO₂e,178.64,184.55,188.16,188.33,179.38,186.69,187.11,188.89,202.13,191.32,196.57,198.8,198.92,203.58,209.23,207.65,207.69,208.17,207.11,209.17,221.62,221.49,230.29,219.36,213.96,214.22,208.7,209.32,203.96
New Zealand,CAIT,Total excluding LUCF,All GHG,MtCO₂e,81.33,82.06,80.41,81.69,81.74,81.24,81.67,79.4,79.98,80.19,82.99,82.96,84.25,83.99,82.49,83.85,81.42,79.87,77.19,77.03,74.78,76.28,73.98,73.43,72.17,70.44,71.37,70.51,71.05
Nicaragua,CAIT,Total excluding LUCF,All GHG,MtCO₂e,19.07,18.96,19.04,18.84,17.87,16.98,16.76,16.39,15.25,14.9,14.79,14.93,14.73,14.44,14.12,14.49,13.48,13.0,12.78,12.24,11.09,10.66,9.91,9.89,10.5,10.19,9.51,8.6,9.96
Niger,CAIT,Total excluding LUCF,All GHG,MtCO₂e,45.05,43.05,41.33,39.61,37.81,35.58,33.75,31.29,29.67,29.51,28.13,26.86,25.62,24.65,23.72,22.83,21.9,21.08,20.21,19.39,18.63,17.77,17.13,16.34,15.69,15.14,14.42,13.87,13.35
Nigeria,CAIT,Total excluding LUCF,All GHG,MtCO₂e,311.45,291.17,284.34,277.14,281.65,271.94,257.54,253.11,234.93,212.73,230.83,227.9,229.74,234.45,217.97,214.1,206.59,202.02,189.75,193.53,200.61,210.55,218.06,216.83,222.25,223.58,223.69,211.53,201.33
Niue,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
North Korea,CAIT,Total excluding LUCF,All GHG,MtCO₂e,41.91,46.0,53.46,48.43,54.55,50.83,61.41,59.67,73.94,76.8,93.39,85.34,97.82,95.62,92.57,91.25,89.95,92.75,89.64,86.35,82.4,90.67,99.01,110.82,118.48,127.91,137.37,151.51,159.02
Norway,CAIT,Total excluding LUCF,All GHG,MtCO₂e,47.34,46.92,47.98,48.58,48.31,48.06,48.98,50.12,51.87,47.53,48.13,49.61,48.99,48.57,49.83,49.32,47.39,47.91,47.28,52.65,50.69,49.11,47.5,46.64,47.32,45.78,43.94,43.38,45.95
Oman,CAIT,Total excluding LUCF,All GHG,MtCO₂e,82.3,78.49,77.84,76.26,72.07,68.28,65.34,58.73,52.48,48.44,45.55,46.22,42.44,32.53,32.12,32.24,31.51,29.87,27.1,24.85,21.51,21.28,19.7,19.32,17.38,17.47,18.13,19.16,14.79
Pakistan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,431.22,414.6,389.4,365.78,351.04,337.42,326.97,323.17,314.47,320.2,309.84,306.86,290.1,270.7,262.42,245.48,237.64,231.23,228.01,225.89,213.32,209.52,202.6,195.56,185.09,178.42,168.6,159.4,158.45
Palau,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.32,0.3,0.29,0.25,0.25,0.24,0.24,0.24,0.23,0.22,0.23,0.26,0.27,0.28,0.25,0.23,0.23,0.23,0.23,0.22,0.22,0.22,0.21,0.21,0.21,0.21,0.21,0.01,N/A
Panama,CAIT,Total excluding LUCF,All GHG,MtCO₂e,18.01,17.9,18.3,18.09,18.63,18.03,17.68,16.97,15.88,15.22,13.63,13.5,13.47,12.93,11.25,11.14,10.93,11.63,10.23,10.1,10.98,9.94,10.03,10.07,9.85,9.55,9.29,8.61,8.11
Papua New Guinea,CAIT,Total excluding LUCF,All GHG,MtCO₂e,22.97,22.9,22.68,21.67,20.04,18.35,17.12,16.39,15.39,15.37,15.04,15.37,15.23,15.27,15.79,14.88,14.57,14.31,13.79,13.64,13.73,13.79,13.61,13.8,12.47,11.59,10.5,9.48,8.48
Paraguay,CAIT,Total excluding LUCF,All GHG,MtCO₂e,49.17,50.54,48.06,47.31,46.87,44.8,43.28,41.9,40.66,38.07,36.01,36.81,34.38,33.92,32.92,34.76,32.48,33.04,30.89,31.99,31.43,30.87,30.16,30.9,28.9,28.91,28.7,29.33,32.32
Peru,CAIT,Total excluding LUCF,All GHG,MtCO₂e,96.28,96.04,98.04,94.88,93.24,89.84,88.38,88.12,84.65,80.65,76.51,71.71,67.81,67.84,66.67,62.29,62.46,60.5,62.31,61.51,57.16,56.97,55.67,52.08,47.3,44.78,43.61,42.74,43.97
Philippines,CAIT,Total excluding LUCF,All GHG,MtCO₂e,232.34,225.87,209.48,196.72,187.64,179.82,168.46,163.3,161.17,155.57,153.56,150.35,144.81,151.72,150.44,146.69,143.55,141.89,142.34,140.44,134.68,140.97,132.37,123.41,111.23,103.46,97.95,95.81,95.75
Poland,CAIT,Total excluding LUCF,All GHG,MtCO₂e,389.65,390.07,377.19,366.25,362.36,375.43,380.78,387.76,391.92,373.95,389.77,396.05,396.05,382.22,380.59,376.24,364.32,372.09,372.23,385.65,396.32,426.14,436.36,421.65,422.11,426.79,427.3,438.09,442.31
Portugal,CAIT,Total excluding LUCF,All GHG,MtCO₂e,66.82,70.95,66.38,67.43,63.32,63.7,65.41,67.11,67.99,73.27,74.15,76.4,77.8,82.99,80.0,78.0,82.99,78.13,78.79,79.26,72.46,67.36,64.99,66.65,62.87,60.96,62.05,58.02,56.31
Qatar,CAIT,Total excluding LUCF,All GHG,MtCO₂e,99.83,97.34,94.7,92.46,88.94,82.7,80.86,72.84,68.84,63.19,60.67,55.95,49.05,44.81,35.26,32.04,30.5,26.17,24.23,25.37,23.13,21.69,20.05,19.1,18.23,17.34,16.42,16.24,14.08
Republic of Congo,CAIT,Total excluding LUCF,All GHG,MtCO₂e,9.37,9.18,9.25,9.2,9.37,9.63,10.14,10.29,10.25,10.12,10.09,9.65,9.59,9.24,6.78,6.67,5.64,5.29,5.01,5.25,5.48,5.5,4.86,6.17,5.99,6.21,6.25,6.33,4.11
Romania,CAIT,Total excluding LUCF,All GHG,MtCO₂e,109.01,108.56,105.85,108.09,106.41,107.3,116.87,119.57,114.86,117.96,134.6,136.64,140.42,138.99,140.59,143.5,137.66,140.76,134.09,129.46,145.07,162.58,175.21,171.95,166.4,169.85,181.31,202.75,245.21
Russia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,2543.4,2494.15,2470.1,2475.69,2521.74,2529.02,2566.17,2546.2,2454.0,2339.9,2484.91,2456.09,2445.03,2373.12,2362.47,2317.61,2241.45,2220.86,2194.34,2137.21,2100.21,2122.51,2243.3,2298.15,2378.69,2661.84,2919.15,3155.35,3251.77
Rwanda,CAIT,Total excluding LUCF,All GHG,MtCO₂e,6.17,6.09,6.03,6.07,5.4,5.36,5.2,5.04,5.11,4.86,4.74,4.55,4.34,4.07,4.14,4.19,4.16,4.05,3.89,3.85,3.63,3.49,3.37,3.23,3.47,3.59,3.68,3.75,3.77
Saint Kitts and Nevis,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.37,0.35,0.35,0.35,0.34,0.33,0.45,0.37,0.35,0.81,0.35,0.35,0.33,0.32,0.33,0.32,0.32,0.3,0.28,0.27,0.27,0.25,0.24,0.24,0.23,0.22,0.23,0.19,0.19
Saint Lucia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.74,0.71,0.69,0.71,0.69,0.64,0.83,0.68,0.7,1.34,0.61,0.6,0.68,0.65,0.68,0.69,0.64,0.68,0.62,0.72,0.8,0.88,0.96,1.03,1.07,1.02,1.02,0.91,0.89
Saint Vincent and the Grenadines,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.37,0.35,0.35,0.3,0.37,0.3,0.48,0.31,0.33,1.07,0.3,0.38,0.33,0.33,0.33,0.31,0.31,0.29,0.24,0.27,0.27,0.24,0.23,0.23,0.21,0.2,0.19,0.16,0.16
Samoa,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.69,0.67,0.66,0.62,0.57,0.55,0.54,0.53,0.52,0.51,0.49,0.5,0.51,0.5,0.49,0.47,0.47,0.46,0.44,0.43,0.42,0.42,0.42,0.41,0.41,0.37,0.36,0.36,0.36
Sao Tome and Principe,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.19,0.19,0.18,0.17,0.17,0.17,0.17,0.15,0.15,0.14,0.13,0.12,0.12,0.12,0.12,0.11,0.11,0.1,0.1,0.1,0.11,0.1,0.1,0.1,0.1,0.09,0.09,0.09,0.09
Saudi Arabia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,638.12,656.08,664.17,660.37,629.39,585.81,568.1,534.21,514.56,470.78,450.11,412.59,389.51,366.49,349.93,331.54,318.25,297.91,291.54,278.67,271.9,253.57,269.71,255.07,250.09,235.98,227.52,212.83,190.64
Senegal,CAIT,Total excluding LUCF,All GHG,MtCO₂e,29.99,29.75,29.77,28.07,27.14,26.5,25.12,25.49,24.41,23.27,22.85,21.91,21.74,21.34,20.57,18.41,19.03,19.51,19.67,18.53,17.25,16.93,16.66,15.84,15.47,15.05,14.7,14.16,13.77
Serbia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,62.6,64.5,64.18,62.91,56.6,64.51,63.72,68.46,64.13,64.75,68.09,69.41,69.72,67.42,74.26,68.84,65.84,62.56,60.23,58.28,75.6,75.9,71.06,63.58,57.01,60.69,66.45,71.72,82.03
Seychelles,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.78,0.74,0.69,0.65,0.6,0.54,0.57,0.52,0.56,0.62,0.81,0.75,0.84,0.79,0.85,0.65,0.63,0.73,0.67,0.61,0.52,0.43,0.32,0.28,0.28,0.26,0.24,0.24,0.22
Sierra Leone,CAIT,Total excluding LUCF,All GHG,MtCO₂e,7.19,7.47,7.64,7.46,7.53,7.07,7.11,6.0,5.36,5.61,5.28,6.01,6.69,5.29,5.28,4.88,4.03,3.6,3.01,2.81,3.06,3.08,3.13,3.87,4.21,4.22,4.13,4.02,4.03
Singapore,CAIT,Total excluding LUCF,All GHG,MtCO₂e,66.64,65.97,63.96,62.56,60.83,59.62,58.71,59.1,56.04,52.3,51.75,51.45,50.19,49.74,52.45,51.02,54.12,55.0,55.3,50.66,49.71,50.74,50.64,49.2,47.85,44.28,37.39,34.79,31.61
Slovakia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,39.93,40.48,38.58,37.77,37.34,40.0,39.35,41.67,43.16,41.57,45.22,45.34,46.32,46.79,45.91,46.56,46.27,46.83,46.2,48.79,50.25,51.43,51.63,51.58,51.0,53.71,56.4,58.95,66.99
Slovenia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,17.17,17.31,17.13,16.31,16.23,17.78,18.42,19.02,19.08,18.79,20.78,19.79,19.85,19.49,19.29,19.06,19.09,19.02,18.12,18.42,19.15,19.42,18.94,18.12,17.25,17.17,16.46,16.72,17.76
Solomon Islands,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.94,0.9,0.88,0.8,0.82,0.85,0.8,0.78,0.75,0.73,0.71,0.71,0.7,0.69,0.66,0.61,0.59,0.57,0.55,0.54,0.52,0.5,0.49,0.47,0.46,0.44,0.43,0.41,0.4
Somalia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,26.97,26.92,27.07,27.11,27.05,26.9,26.75,26.44,26.26,26.02,25.95,25.88,26.94,28.16,27.68,27.34,27.08,26.65,26.06,25.86,25.77,25.89,25.47,25.0,24.32,22.35,20.35,22.27,25.14
South Africa,CAIT,Total excluding LUCF,All GHG,MtCO₂e,513.44,514.6,501.55,501.09,525.05,513.02,503.11,484.25,499.72,476.95,497.47,465.58,445.53,442.92,442.84,415.18,393.81,378.21,344.13,339.74,359.93,353.52,340.02,330.56,320.04,314.09,305.65,308.69,312.74
South Korea,CAIT,Total excluding LUCF,All GHG,MtCO₂e,718.88,710.34,696.93,685.8,664.25,675.0,675.29,670.79,646.42,593.6,579.95,565.86,557.07,548.76,553.34,529.25,521.37,528.55,511.79,454.25,416.39,481.2,455.36,427.42,395.04,367.44,336.58,312.02,286.68
South Sudan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,58.66,56.02,58.44,57.41,59.95,62.55,66.94,65.18,68.61,69.38,67.26,66.31,62.71,63.49,60.26,58.0,55.39,51.64,53.61,49.46,46.69,42.82,39.84,36.61,35.9,34.0,31.97,29.5,28.6
Spain,CAIT,Total excluding LUCF,All GHG,MtCO₂e,326.94,332.17,315.83,325.51,314.95,316.48,342.54,348.82,349.44,364.62,401.45,434.66,418.34,424.48,409.76,393.61,384.51,367.81,369.84,352.53,327.7,318.09,296.73,303.34,289.43,276.49,291.28,281.45,275.27
Sri Lanka,CAIT,Total excluding LUCF,All GHG,MtCO₂e,35.24,35.92,35.29,33.9,30.6,27.74,29.86,28.49,25.59,24.35,25.2,24.89,23.92,25.46,23.47,23.26,22.04,21.04,21.2,22.07,22.79,25.41,27.51,27.83,27.67,26.75,26.3,24.46,24.5
Sudan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,109.63,108.91,109.01,104.47,100.83,99.64,99.32,94.53,94.81,96.45,94.26,93.13,88.22,88.34,83.72,81.29,78.86,73.56,77.6,73.6,71.49,68.75,65.92,63.93,62.93,58.45,56.52,52.88,51.99
Suriname,CAIT,Total excluding LUCF,All GHG,MtCO₂e,3.78,3.9,4.06,4.48,4.38,3.94,4.09,3.62,3.36,3.03,2.89,2.7,2.81,2.86,2.66,2.46,2.26,2.8,2.71,3.41,3.37,3.37,3.39,3.36,3.3,3.27,3.33,3.22,2.86
Sweden,CAIT,Total excluding LUCF,All GHG,MtCO₂e,46.35,49.07,49.52,50.05,50.12,51.53,53.23,56.11,60.07,54.62,58.58,59.78,61.9,63.46,67.12,68.61,67.66,66.33,67.38,71.65,72.97,72.2,78.46,72.91,73.37,71.55,71.59,69.04,68.39
Switzerland,CAIT,Total excluding LUCF,All GHG,MtCO₂e,46.02,47.2,48.19,47.71,48.47,52.27,51.25,50.02,54.1,52.53,54.01,52.41,54.35,54.65,53.95,53.5,52.31,53.96,52.36,53.16,53.04,51.5,52.95,52.36,51.43,52.3,54.77,54.85,52.65
Syria,CAIT,Total excluding LUCF,All GHG,MtCO₂e,46.32,47.54,44.93,44.38,49.1,56.28,75.93,89.57,95.98,96.47,101.7,100.59,96.91,92.94,81.81,79.49,79.14,78.53,78.01,78.01,79.02,75.76,75.31,72.09,67.93,64.52,64.04,62.88,58.52
Tajikistan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,15.21,14.2,13.65,12.28,11.7,10.26,9.84,9.06,8.78,8.74,9.08,8.73,8.06,7.61,7.53,6.97,6.81,6.76,6.72,7.08,7.55,7.62,7.37,8.01,8.6,11.07,13.9,16.92,17.79
Tanzania,CAIT,Total excluding LUCF,All GHG,MtCO₂e,105.38,103.33,104.66,103.82,97.65,93.94,87.95,81.79,75.95,71.63,70.49,67.75,64.64,66.44,62.62,61.73,56.55,51.37,49.27,51.4,50.5,47.0,47.4,49.2,45.1,45.0,44.6,44.6,44.38
Thailand,CAIT,Total excluding LUCF,All GHG,MtCO₂e,416.95,413.2,395.18,392.81,390.01,395.71,383.44,362.4,360.56,340.52,341.85,336.13,323.43,319.06,309.76,291.22,278.01,266.64,255.43,253.22,241.56,262.3,255.05,233.65,214.48,199.67,183.57,171.67,159.66
Timor-Leste,CAIT,Total excluding LUCF,All GHG,MtCO₂e,6.19,6.39,6.77,6.89,6.86,6.9,6.92,6.94,7.05,6.74,6.42,6.06,5.76,5.41,4.42,3.64,2.78,1.73,0.67,0.6,0.72,0.69,0.69,0.67,0.64,0.56,0.53,0.52,0.45
Togo,CAIT,Total excluding LUCF,All GHG,MtCO₂e,8.42,8.01,8.24,7.79,7.05,7.32,7.48,8.0,7.54,7.71,6.27,5.94,6.25,6.81,5.9,6.13,5.47,4.99,5.22,5.36,5.0,4.13,4.37,3.91,3.88,3.58,3.69,4.0,4.17
Tonga,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.35,0.34,0.31,0.27,0.27,0.26,0.26,0.25,0.26,0.28,0.27,0.27,0.29,0.28,0.27,0.26,0.24,0.23,0.24,0.26,0.24,0.25,0.24,0.26,0.27,0.26,0.25,0.27,0.25
Trinidad and Tobago,CAIT,Total excluding LUCF,All GHG,MtCO₂e,22.9,23.07,22.84,25.6,25.99,26.52,25.62,26.41,25.56,22.95,23.71,24.46,24.42,21.69,17.91,17.16,17.81,17.11,15.97,15.71,15.51,15.1,14.55,14.29,14.12,13.56,13.01,14.06,15.15
Tunisia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,41.1,40.72,39.73,40.17,39.36,37.12,37.24,36.29,37.96,35.63,35.05,34.92,34.23,33.18,32.67,31.52,31.31,31.23,30.47,28.89,27.45,26.07,25.37,23.87,23.2,23.21,21.64,20.89,19.85
Turkey,CAIT,Total excluding LUCF,All GHG,MtCO₂e,502.52,502.67,460.82,433.85,427.12,402.24,411.02,396.91,374.33,364.56,361.14,362.55,332.61,303.23,290.69,284.41,272.52,262.24,284.42,260.42,260.52,259.32,250.19,232.44,217.86,222.67,216.16,208.67,206.21
Turkmenistan,CAIT,Total excluding LUCF,All GHG,MtCO₂e,125.08,125.62,125.94,126.15,119.77,114.27,108.94,101.66,92.07,86.29,94.57,94.44,89.92,89.5,89.02,84.55,77.39,73.01,69.8,66.86,59.91,57.69,56.92,59.38,57.44,53.18,56.19,69.95,79.18
Tuvalu,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02
