Country,Data source,Sector,Gas,Unit,2018,2017,2016,2015,2014,2013,2012,2011,2010,2009,2008,2007,2006,2005,2004,2003,2002,2001,2000,1999,1998,1997,1996,1995,1994,1993,1992,1991,1990
Bolivia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,56.87,56.3,55.78,53.4,51.87,50.91,49.13,47.8,47.73,42.91,41.58,40.33,39.23,38.56,36.41,33.94,33.16,30.43,30.52,30.62,30.42,29.35,28.76,29.27,29.69,27.62,25.85,24.03,23.23
Bosnia and Herzegovina,CAIT,Total excluding LUCF,All GHG,MtCO₂e,27.19,27.46,27.2,24.64,24.47,27.05,27.26,29.04,25.96,25.95,25.71,23.82,22.68,20.82,20.14,19.07,18.59,18.45,18.67,15.02,14.99,12.21,7.3,6.21,6.3,16.62,20.07,27.6,30.14
Botswana,CAIT,Total excluding LUCF,All GHG,MtCO₂e,16.12,17.46,13.58,14.4,14.76,15.95,16.49,27.49,22.42,11.83,20.94,12.16,13.86,11.99,10.59,9.99,17.12,16.78,14.92,15.01,14.9,15.17,15.49,14.26,13.32,13.05,13.36,13.1,13.66
Brazil,CAIT,Total excluding LUCF,All GHG,MtCO₂e,1032.64,1064.92,1051.69,1082.7,1105.9,1070.85,1042.04,1004.84,986.44,905.49,924.38,911.24,886.91,888.93,883.46,837.39,823.22,796.35,765.6,752.07,736.04,713.09,685.17,677.74,657.69,641.36,631.15,621.22,593.95
Brunei,CAIT,Total excluding LUCF,All GHG,MtCO₂e,16.62,16.33,16.18,15.88,16.96,17.11,17.31,17.27,17.22,18.27,18.53,18.64,19.48,17.56,17.58,17.82,16.83,16.7,16.72,16.16,15.95,16.4,15.69,15.16,14.65,14.24,13.83,13.49,13.88
Bulgaria,CAIT,Total excluding LUCF,All GHG,MtCO₂e,53.33,56.45,54.27,57.31,54.66,52.06,57.15,62.84,57.04,55.35,62.76,65.21,61.03,60.95,60.99,62.3,57.51,60.16,57.7,58.33,65.26,69.11,71.63,71.1,69.88,73.77,75.25,81.12,98.34
Burkina Faso,CAIT,Total excluding LUCF,All GHG,MtCO₂e,30.85,30.56,29.65,28.24,27.49,26.99,25.97,25.25,24.81,23.64,22.94,22.1,21.35,21.3,20.63,20.03,16.55,15.81,16.62,15.5,15.16,15.01,14.4,14.37,13.98,13.52,13.26,12.95,12.51
Burundi,CAIT,Total excluding LUCF,All GHG,MtCO₂e,5.52,5.39,4.75,4.35,4.37,4.43,4.07,4.01,3.81,3.49,3.33,3.2,3.13,2.98,2.95,2.92,2.96,3.0,3.05,3.1,3.16,3.15,3.12,3.14,3.04,3.1,3.08,3.04,2.94
Cambodia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,37.46,37.84,35.39,33.72,31.55,30.6,30.31,30.58,29.06,28.71,27.31,26.74,25.64,24.07,22.6,22.65,21.07,20.54,20.45,21.54,20.34,20.28,20.1,19.77,17.6,18.68,17.75,17.1,17.28
Cameroon,CAIT,Total excluding LUCF,All GHG,MtCO₂e,89.05,88.32,88.3,87.3,86.32,85.65,84.45,84.75,85.5,84.42,83.94,84.28,82.99,83.41,81.69,82.63,81.28,81.44,82.58,80.59,80.34,78.81,77.88,78.13,78.09,21.65,17.48,17.53,17.84
Canada,CAIT,Total excluding LUCF,All GHG,MtCO₂e,724.93,709.37,695.2,707.93,712.31,705.42,694.21,689.76,674.2,661.01,698.19,722.54,691.0,705.08,693.31,698.41,679.48,660.9,671.76,653.8,650.07,641.55,626.13,605.76,590.3,569.72,571.7,555.77,559.84
Cape Verde,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.83,0.8,0.77,0.72,0.71,0.72,0.73,0.76,0.77,0.73,0.68,0.66,0.7,0.64,0.54,0.5,0.47,0.43,0.4,0.38,0.34,0.31,0.3,0.31,0.28,0.29,0.29,0.25,0.24
Central African Republic,CAIT,Total excluding LUCF,All GHG,MtCO₂e,55.68,54.78,55.82,53.48,51.37,50.04,46.98,48.06,44.96,42.26,46.24,44.49,43.57,42.87,42.1,44.98,40.13,42.64,46.74,43.39,45.34,42.92,42.36,39.96,39.39,36.45,35.97,35.48,34.73
Chad,CAIT,Total excluding LUCF,All GHG,MtCO₂e,80.68,77.69,75.22,70.56,65.41,62.82,60.51,57.65,55.15,52.73,52.08,50.99,49.09,48.34,44.46,41.25,37.38,33.35,35.05,32.22,30.2,29.36,28.72,25.73,24.7,23.71,22.74,21.87,15.44
Chile,CAIT,Total excluding LUCF,All GHG,MtCO₂e,109.59,109.35,108.15,104.02,98.66,104.98,101.9,99.62,93.17,88.35,90.92,86.38,78.18,76.81,76.25,70.92,70.05,69.33,71.48,75.12,72.33,71.06,63.88,57.48,54.02,50.49,49.13,46.79,47.52
China,CAIT,Total excluding LUCF,All GHG,MtCO₂e,12355.24,12058.05,11857.18,11859.29,11865.31,11854.53,11399.83,11074.55,10203.82,9377.66,8786.12,8497.04,7879.33,7194.48,6467.06,5717.66,5100.86,4791.44,4597.43,4401.29,4451.04,4311.65,4302.87,4266.84,3877.37,3726.35,3503.1,3371.94,3222.27
Colombia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,184.1,177.47,180.94,176.98,175.23,172.01,165.34,166.91,164.35,159.9,155.75,154.39,149.02,147.79,145.07,143.24,141.23,142.19,139.71,135.76,145.83,144.13,139.46,138.85,135.82,133.73,129.72,126.05,124.29
Comoros,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.59,0.58,0.54,0.51,0.49,0.49,0.46,0.45,0.44,0.4,0.38,0.36,0.41,0.38,0.39,0.37,0.35,0.34,0.32,0.34,0.33,0.31,0.3,0.3,0.29,0.29,0.28,0.27,0.27
Cook Islands,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.1,0.1,0.09,0.08,0.09,0.08,0.08,0.08,0.08,0.07,0.07,0.08,0.08,0.07,0.07,0.06,0.06,0.06,0.07,0.07,0.07,0.07,0.07,0.06,0.06,0.05,0.05,0.05,0.05
Costa Rica,CAIT,Total excluding LUCF,All GHG,MtCO₂e,15.81,15.71,15.54,14.63,14.77,14.72,14.23,14.27,13.56,13.45,13.86,13.66,12.28,11.96,11.43,11.43,11.06,11.02,10.7,10.84,11.01,10.29,10.2,10.24,10.67,10.29,10.22,9.12,8.85
Côte d'Ivoire,CAIT,Total excluding LUCF,All GHG,MtCO₂e,22.9,23.12,22.73,21.46,20.41,20.46,19.13,18.21,19.32,20.37,22.26,23.19,24.39,26.21,25.7,28.08,30.86,31.48,32.42,33.08,31.81,32.22,31.58,31.86,32.09,26.26,20.57,14.98,9.25
Croatia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,22.55,23.4,22.73,22.69,22.1,22.83,23.95,25.89,26.18,26.74,29.3,30.12,28.62,27.89,28.0,28.23,27.13,26.13,25.33,26.26,26.58,26.28,24.8,25.46,24.18,24.09,23.21,22.18,28.69
Cuba,CAIT,Total excluding LUCF,All GHG,MtCO₂e,41.86,42.48,45.65,44.56,44.52,44.85,46.19,45.95,47.12,44.02,42.68,43.22,42.15,41.23,41.06,41.55,42.27,43.62,44.59,44.28,43.95,44.52,42.07,38.98,37.22,35.89,39.68,45.61,54.48
Cyprus,CAIT,Total excluding LUCF,All GHG,MtCO₂e,8.6,8.68,8.54,8.14,8.08,7.7,8.37,8.88,9.13,9.44,9.62,9.43,9.11,9.0,8.86,8.92,8.25,8.02,8.1,7.84,7.56,7.23,7.15,6.77,6.88,6.63,6.36,5.94,5.41
Czech Republic,CAIT,Total excluding LUCF,All GHG,MtCO₂e,122.84,124.12,124.09,122.29,120.36,123.09,128.37,131.78,134.4,131.31,138.95,144.01,141.04,140.06,143.13,142.58,138.24,143.85,144.13,133.49,141.6,148.23,150.74,149.13,149.15,156.44,161.16,165.61,182.34
Democratic Republic of the Congo,CAIT,Total excluding LUCF,All GHG,MtCO₂e,58.7,59.66,57.64,57.98,57.68,55.97,52.16,51.12,51.03,49.25,48.79,46.51,49.1,47.91,47.79,45.61,42.72,37.32,35.58,35.87,37.62,36.57,37.0,42.19,42.2,41.87,41.5,41.1,42.21
Denmark,CAIT,Total excluding LUCF,All GHG,MtCO₂e,45.87,46.16,48.33,46.61,48.69,52.94,51.39,56.46,61.8,61.37,64.19,67.67,72.47,64.7,68.56,74.88,69.45,69.71,68.47,72.67,75.51,79.57,89.24,75.77,78.86,75.16,72.59,78.79,68.17
Djibouti,CAIT,Total excluding LUCF,All GHG,MtCO₂e,1.48,1.46,1.47,1.52,1.43,1.52,1.46,1.42,1.46,1.4,1.41,1.4,1.36,1.36,1.32,1.33,1.31,1.28,1.27,1.23,1.19,1.18,1.15,1.1,1.05,1.04,1.02,1.01,0.99
Dominica,CAIT,Total excluding LUCF,All GHG,MtCO₂e,0.24,0.23,0.25,0.25,0.25,0.24,0.32,0.24,0.25,0.57,0.25,0.25,0.24,0.23,0.22,0.2,0.19,0.22,0.2,0.19,0.19,0.2,0.18,0.21,0.21,0.2,0.21,0.19,0.19
Dominican Republic,CAIT,Total excluding LUCF,All GHG,MtCO₂e,39.06,37.01,37.79,36.52,34.17,33.93,34.16,33.39,33.03,31.69,32.19,32.01,30.82,28.85,27.62,28.36,30.69,28.29,27.5,26.74,26.09,24.18,22.52,21.6,21.09,19.09,18.56,17.05,15.9
Ecuador,CAIT,Total excluding LUCF,All GHG,MtCO₂e,65.68,64.06,65.01,66.42,67.82,66.98,63.97,62.78,61.8,59.01,55.7,54.4,54.28,51.79,50.29,47.71,47.13,46.75,42.36,43.14,45.77,46.85,44.8,41.42,38.3,36.69,36.93,34.67,33.82
Egypt,CAIT,Total excluding LUCF,All GHG,MtCO₂e,329.22,320.37,315.78,306.35,297.28,291.23,293.98,283.19,276.45,274.96,268.9,259.78,244.69,234.07,216.08,202.88,198.58,193.7,181.32,180.01,171.18,164.36,154.94,147.52,138.54,142.86,140.59,135.48,129.84
El Salvador,CAIT,Total excluding LUCF,All GHG,MtCO₂e,12.35,11.94,12.72,12.7,12.26,11.94,12.7,12.55,12.62,12.87,13.26,13.82,13.21,12.74,12.39,12.09,11.56,11.36,10.76,10.89,10.72,10.64,9.81,9.89,9.64,8.96,8.42,8.01,7.17
Equatorial Guinea,CAIT,Total excluding LUCF,All GHG,MtCO₂e,19.27,18.7,19.14,21.16,22.56,24.27,25.38,25.53,25.79,26.16,25.71,24.52,26.36,25.52,22.79,18.8,15.77,12.58,10.3,8.26,6.54,5.05,3.42,1.4,1.35,1.29,0.32,0.26,0.21
Eritrea,CAIT,Total excluding LUCF,All GHG,MtCO₂e,7.48,7.34,7.25,7.14,7.3,7.42,7.53,7.62,7.5,7.49,7.35,7.31,6.88,7.02,7.16,7.24,7.24,7.45,7.87,7.8,7.66,7.65,7.18,6.67,6.06,5.36,5.26,4.22,3.69
Estonia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,18.61,18.92,18.28,18.11,20.54,21.87,19.46,20.69,21.56,17.59,21.0,22.54,18.53,19.77,19.62,19.48,17.55,17.98,17.53,17.93,19.03,19.62,20.04,19.17,20.91,21.79,27.59,35.37,39.15
Eswatini,CAIT,Total excluding LUCF,All GHG,MtCO₂e,3.12,3.05,3.2,3.0,2.95,3.52,3.01,2.94,2.92,2.92,2.92,2.98,2.89,2.99,2.93,2.92,2.91,2.86,3.01,3.07,3.0,2.95,2.59,2.77,2.77,2.42,2.69,2.74,2.7
Ethiopia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,172.23,170.62,167.19,161.09,155.66,147.51,140.65,133.09,131.44,126.67,121.86,116.9,106.55,101.16,97.63,95.26,96.88,87.34,83.31,85.29,84.79,78.02,74.93,70.74,68.61,66.21,70.72,68.18,66.41
European Union (27),CAIT,Total excluding LUCF,All GHG,MtCO₂e,3567.08,3635.65,3622.33,3621.54,3565.62,3711.45,3788.2,3849.51,3960.8,3881.38,4155.66,4247.19,4283.3,4288.33,4320.12,4323.46,4235.72,4254.85,4208.97,4210.42,4283.83,4324.38,4402.31,4294.73,4244.36,4260.96,4334.12,4478.18,4555.23
Fiji,CAIT,Total excluding LUCF,All GHG,MtCO₂e,2.82,2.73,2.61,2.37,2.74,2.51,2.35,2.37,2.37,2.18,2.21,2.5,2.6,2.52,2.72,2.29,2.18,2.34,2.07,2.04,2.05,2.09,2.11,2.05,1.99,1.94,1.88,1.83,1.82
Finland,CAIT,Total excluding LUCF,All GHG,MtCO₂e,54.49,53.32,56.26,53.55,57.0,61.12,60.38,66.1,74.12,66.06,69.73,77.86,79.71,68.38,80.59,84.65,76.55,74.23,68.45,69.99,70.86,74.53,76.49,70.05,74.04,67.44,66.2,69.3,69.4
France,CAIT,Total excluding LUCF,All GHG,MtCO₂e,423.35,432.38,430.02,430.14,424.13,457.25,456.32,453.51,470.79,467.05,485.35,491.62,498.79,509.07,508.44,510.7,505.83,513.38,508.56,511.48,521.88,505.84,515.77,497.01,488.27,494.01,512.8,527.54,502.75
Gabon,CAIT,Total excluding LUCF,All GHG,MtCO₂e,7.46,7.53,8.36,7.97,7.86,8.04,8.03,7.75,6.7,6.03,6.03,5.81,5.75,6.21,6.05,5.9,5.78,5.96,6.03,6.47,6.84,7.02,7.15,7.42,7.54,7.86,7.82,7.61,7.44
Gambia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,2.79,2.7,2.66,2.62,2.59,2.44,2.36,2.26,2.56,2.49,2.11,1.93,1.86,1.74,1.87,1.96,2.05,2.26,2.47,2.73,3.04,3.28,3.61,3.88,4.34,4.8,4.68,4.57,4.41
Georgia,CAIT,Total excluding LUCF,All GHG,MtCO₂e,16.9,17.19,17.39,16.97,16.63,16.04,15.26,14.38,12.98,13.26,12.51,13.39,12.63,12.27,11.64,11.55,11.01,11.56,14.02,13.64,13.94,14.44,15.14,16.77,20.22,27.56,33.83,42.02,52.15
Germany,CAIT,Total excluding LUCF,All GHG,MtCO₂e,806.09,832.65,850.17,847.46,843.66,883.92,866.67,852.55,881.3,850.64,907.8,905.13,934.2,927.71,952.11,971.9,972.93,991.32,975.83,985.18,1019.61,1045.89,1083.88,1055.73,1062.35,1075.23,1082.93,1130.62,1160.21
